CD_UOR;CD_PRF;NM_UOR_RED;CD_SBDD;CD_MUN;SG_UF;CD_UOR_JRDT
527bf9aab6ed58084dc0f026ab7a82cf;758a06618c69880a6cee5314ee42d52f;7ccfd610f3c19357a6b763b00844965d;91;52530;SP;d9cf935700ac7b03669f834bfb06aba5
1a47e38c424a51aba827f45d77a438b1;df1f1d20ee86704251795841e6a9405a;f06e8b2b2fcee90d48cdb823a25107ee;0;52670;SC;d9cf935700ac7b03669f834bfb06aba5
3798003c3d078a7b4fd1f33843a2e5c0;df1f1d20ee86704251795841e6a9405a;c717693c67df37dbbad738de6a9f49da;91;52670;SC;d9cf935700ac7b03669f834bfb06aba5
684fa3de91be141a2bc896fa5870aed7;243facb29564e7b448834a7c9d901201;a5fb09ae0174e6826868f0e6a360d3ed;0;53150;BA;d9cf935700ac7b03669f834bfb06aba5
d9aa7942219d9b762ba1b832214e5a7a;243facb29564e7b448834a7c9d901201;6d2c9b4475726b091618f679bbb9885f;91;53150;BA;d9cf935700ac7b03669f834bfb06aba5
813b6a28cc4ac72d244266161e3e2eb4;a07c2f3b3b907aaf8436a26c6d77f0a2;2a2913ce89b3511532f8ec75e3987cd4;0;53220;MA;d9cf935700ac7b03669f834bfb06aba5
fe09f091f5c661afdf1f5069a4136735;a07c2f3b3b907aaf8436a26c6d77f0a2;742fefc9cf5e924d199e8e1a960ba8e4;91;53220;MA;d9cf935700ac7b03669f834bfb06aba5
73c66ed635c83ba1316b28524a31b12f;d5e2c0adad503c91f91df240d0cd4e49;670b891b3b4c480b0fa03ac874daee9e;0;53230;MG;d9cf935700ac7b03669f834bfb06aba5
26864bfba07bfdc89934ec5ca9367ab9;d5e2c0adad503c91f91df240d0cd4e49;50342ddf8d830a7f5ee2958c765d89af;91;53230;MG;d9cf935700ac7b03669f834bfb06aba5
92d1e1eb1cd6f9fba3227870bb6d7f07;635440afdfc39fe37995fed127d7df4f;7891b08725a0980400c742bdc1872d9b;0;53320;AL;d9cf935700ac7b03669f834bfb06aba5
8af0c75579a632c9207e51657de43c7c;635440afdfc39fe37995fed127d7df4f;e964bcbc250c4d71bb98c2139552f90a;91;53320;AL;d9cf935700ac7b03669f834bfb06aba5
007944deaf33ef8d449782f61a5bc216;ce6c92303f38d297e263c7180f03d402;cae990f20f909f52da91a33a5a4fd0fe;0;53330;CE;d9cf935700ac7b03669f834bfb06aba5
de312ddeff82ecc47ed90967ed3cbc91;ce6c92303f38d297e263c7180f03d402;47d497ef4d499fed3c8a3db128cb5a84;91;53330;CE;d9cf935700ac7b03669f834bfb06aba5
9261dd1b310a1949370f3ec6e8aa78ea;38651c4450f87348fcbe1f992746a954;9ff173c57463dd6f5fd27c131dc4932c;0;53760;SP;d9cf935700ac7b03669f834bfb06aba5
9b8e3691c7140875b5fcc94cfc354c60;38651c4450f87348fcbe1f992746a954;23ff572ff185d2ea9a013b3c28a6010a;91;53760;SP;d9cf935700ac7b03669f834bfb06aba5
08316e289e75a729907d3dcd4f4d30b2;c2ba1bc54b239208cb37b901c0d3b363;57610e1884681094338b250c84546913;0;53870;PI;d9cf935700ac7b03669f834bfb06aba5
eb0ad44c9613a6bfb894ac3e79d163c7;c2ba1bc54b239208cb37b901c0d3b363;870905fd671f909cda6a2b5c0b55e1b8;91;53870;PI;d9cf935700ac7b03669f834bfb06aba5
7f6b550688de8db0290009ba6abd673c;f6c79f4af478638c39b206ec30ab166b;0c8e77240384ee02ff66b4a7e87ed94b;0;54180;RN;d9cf935700ac7b03669f834bfb06aba5
d7b0a6a743658d17efc4c53c31aa360c;f6c79f4af478638c39b206ec30ab166b;330c318232031a4b0c16ce225e077f41;91;54180;RN;d9cf935700ac7b03669f834bfb06aba5
2e87d147292d4f2d0770cbd01562eb35;d6288499d0083cc34e60a077b7c4b3e1;fbf140190a2c31ff15fc2973d9263e10;0;54260;PE;d9cf935700ac7b03669f834bfb06aba5
997ddfb43e587b1580a0caba67f9de24;d6288499d0083cc34e60a077b7c4b3e1;04546247f5dc09e4fc4b7f912646e66b;91;54260;PE;d9cf935700ac7b03669f834bfb06aba5
6a41574847522a3bd0eb4a9986c5e13c;2d3acd3e240c61820625fff66a19938f;b25116c06b84b25074d3bdc1329cef93;0;54780;SP;d9cf935700ac7b03669f834bfb06aba5
11eba2991cc62daa4a85be5c0cfdae97;2d3acd3e240c61820625fff66a19938f;aace0fd76c60cb3f4124be52d84dd313;91;54780;SP;d9cf935700ac7b03669f834bfb06aba5
00693ceec3aa42db186efa62ed8917d2;04ad5632029cbfbed8e136e5f6f7ddfa;6a7e5e0ba3fcebdd0567cb9931676577;0;54840;AL;d9cf935700ac7b03669f834bfb06aba5
56710c488f68ac4f0fc3d54a7464821f;04ad5632029cbfbed8e136e5f6f7ddfa;3cb04b85dfc61c2ddcbd3f9908141ee5;91;54840;AL;d9cf935700ac7b03669f834bfb06aba5
7f46c947fb6d99b46df4e2181237e2d0;bbaa9d6a1445eac881750bea6053f564;41afee8040d83d39d2f5428813e9cfc8;0;54890;BA;d9cf935700ac7b03669f834bfb06aba5
ccd2d123f4ec4d777fc6ef757d0fb642;bbaa9d6a1445eac881750bea6053f564;6c2f53900e569cc07f4de16a9effd4f8;91;54890;BA;d9cf935700ac7b03669f834bfb06aba5
0babdd954699df097833f3d27e01d03d;0233f3bb964cf325a30f8b1c2ed2da93;9ec8648193c76060fb60928b3be6fbf2;0;54940;PR;d9cf935700ac7b03669f834bfb06aba5
563109f2cbb6c1fd10fbd2cf2ea37afe;0233f3bb964cf325a30f8b1c2ed2da93;3c3cf71c3a620ac9e5d8bc5644359da8;91;54940;PR;d9cf935700ac7b03669f834bfb06aba5
