CD_MUN_UOR;Cod IBGE
14100;3106507
14210;3106705
14250;3106903
14500;3107109
15000;3107307
15200;3107406
15260;3107505
15480;3107604
15570;3107901
15650;3108008
15740;3108107
15850;3108206
16140;3108305
16280;3108404
16561;3108552
16610;3108602
16660;3108909
17070;3109006
17170;3109105
17190;3109204
17500;3109303
17520;3109402
17730;3109501
18150;3109709
18420;3110004
19180;3110301
19420;3110509
19680;3110608
19830;3110905
19850;3111002
19960;3111101
20100;3111200
20420;3111309
20610;3111507
20670;3111606
20920;3111804
21040;3112000
21800;3112307
21870;3112604
21923;3112703
22030;3112901
22160;3113008
22280;3113206
22300;3113305
22400;3113404
22800;3113701
22920;3113909
22960;3114006
22930;3114204
23000;3114303
23010;3114402
23040;3114501
23210;3114600
23600;3115102
23800;3115300
23960;3115359
24420;3115508
24690;3115706
24720;3115805
24990;3116001
25700;3116605
26010;3116704
26300;3117009
26380;3117108
26350;3117306
26600;3117504
26730;3117702
27000;3118007
27100;3118304
27150;3118403
27240;3118601
27330;3118700
27400;3118809
27480;3118908
27550;3119104
27650;3119203
27700;3119302
27750;3119401
27900;3119609
28860;3120201
28970;3120508
29470;3120805
30200;3120904
30750;3121605
30940;3122009
31000;3122306
31040;3122405
31350;3122702
31450;3122900
31500;3123205
32070;3123601
32650;3123908
32890;3124005
32960;3124104
32970;3124203
33100;3124302
33380;3124500
33550;3124807
33740;3125101
34630;3125903
35200;3126109
35540;3126505
35600;3126703
35900;3127107
36160;3127305
37110;3127388
37340;3127404
37550;3127701
37720;3127800
38250;3128006
38290;3128105
38640;3128303
38650;3128402
39200;3128709
39270;3128808
39300;3128907
39360;3129004
39600;3129202
40070;3129301
40260;3129509
40680;3129707
40870;3129806
41610;3130101
42300;3130606
42450;3130705
42700;3130903
42895;3131158
43000;3131208
43040;3131307
43520;3131505
43640;3131604
44280;3131703
44290;3131802
44300;3131901
44380;3132107
44620;3132206
45050;3132404
45160;3132503
45220;3132701
45310;3132909
45320;3133006
45400;3133105
45430;3133204
45450;3133303
45510;3133402
45620;3133501
46660;3133758
46750;3133808
46800;3134004
47050;3134202
47170;3134400
47460;3134608
47720;3134707
47840;3134806
47920;3134905
48201;3135050
48320;3135100
48500;3135209
48455;3135456
49190;3135506
49250;3135803
49440;3136009
49610;3136207
49660;3136306
50160;3136652
50450;3136702
50870;3136900
51460;3137007
51490;3137106
51770;3137205
51660;3137403
51670;3137502
51820;3137601
52240;3137700
52280;3137809
52750;3138203
53050;3138401
53120;3138500
53230;3138609
54040;3138807
54400;3139003
54880;3139201
55200;3139300
55300;3139409
55350;3139508
55450;3139607
56230;3139904
56290;3140001
56780;3140506
57250;3140704
57280;3140803
57380;3140902
57420;3141009
57450;3141108
57700;3141405
57910;3141603
57980;3141702
58260;3141801
58270;3141900
58360;3142007
58460;3142106
58510;3142205
58940;3142304
59330;3142601
59350;3142700
59450;3142809
59560;3142908
59590;3143005
59600;3143104
59790;3143203
59950;3143302
59800;3143401
60080;3143500
60950;3143906
61120;3144003
61150;3144102
61200;3144300
61570;3144607
62320;3144706
62630;3144805
62790;3145000
62810;3145109
62850;3145208
63090;3145307
63620;3145505
63700;3145604
64290;3145901
64300;3146008
64350;3146107
64740;3146305
64860;3146503
65800;3147006
65750;3147105
66070;3147303
66430;3147402
66920;3147600
66930;3147709
67200;3147907
67400;3148004
67450;3148103
67930;3148608
68000;3148707
68210;3149101
68430;3149200
68540;3149309
69070;3149804
69090;3149903
69600;3150109
70630;3150604
70850;3150802
71050;3151206
71160;3151305
71410;3151404
71470;3151503
71650;3151602
71860;3151701
72000;3151800
72160;3152006
72500;3152105
72820;3152204
73460;3152402
73550;3152501
73740;3152709
