Ranking IDHM 2010,Município,UF,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
4416 º,URUARA,PA,0.589,0.609,0.798,0.42
4416 º,PARANA,RN,0.589,0.532,0.776,0.496
4416 º,TOCANTINIA,TO,0.589,0.57,0.782,0.459
4416 º,PALESTINA DO PARA,PA,0.589,0.574,0.761,0.467
4416 º,PIRANHAS,AL,0.589,0.563,0.786,0.462
4416 º,OLHO D'AGUA DAS CUNHAS,MA,0.589,0.551,0.754,0.491
4416 º,CARNAUBAIS,RN,0.589,0.583,0.738,0.476
4416 º,SAO PEDRO,RN,0.589,0.574,0.794,0.449
4416 º,ITAGIBA,BA,0.589,0.566,0.77,0.469
4416 º,BOM JESUS DO TOCANTINS,PA,0.589,0.601,0.777,0.437
4444 º,LUIS DOMINGUES,MA,0.588,0.541,0.734,0.512
4444 º,AFRANIO,PE,0.588,0.542,0.761,0.493
4444 º,CARIRA,SE,0.588,0.581,0.791,0.442
4444 º,CALDEIRAO GRANDE DO PIAUI,PI,0.588,0.561,0.744,0.486
4444 º,ASSIS BRASIL,AC,0.588,0.578,0.77,0.456
4444 º,SAO DOMINGOS,SE,0.588,0.572,0.756,0.471
4444 º,PEDRAO,BA,0.588,0.534,0.775,0.49
4444 º,ATALEIA,MG,0.588,0.592,0.813,0.423
4444 º,BELTERRA,PA,0.588,0.548,0.775,0.478
4444 º,MORRINHOS,CE,0.588,0.524,0.76,0.511
4444 º,COLONIA DO PIAUI,PI,0.588,0.57,0.772,0.462
4444 º,TAILANDIA,PA,0.588,0.583,0.776,0.45
4444 º,MORRO DO CHAPEU,BA,0.588,0.554,0.766,0.478
4444 º,PARANHOS,MS,0.588,0.566,0.811,0.444
4444 º,ANDORINHA,BA,0.588,0.586,0.731,0.474
4444 º,BOCA DO ACRE,AM,0.588,0.576,0.777,0.455
4444 º,ARAMARI,BA,0.588,0.568,0.761,0.47
4444 º,URBANO SANTOS,MA,0.588,0.506,0.77,0.522
4444 º,FEIRA DA MATA,BA,0.588,0.527,0.763,0.505
4444 º,CAMOCIM DE SAO FELIX,PE,0.588,0.585,0.738,0.472
4444 º,URUCURITUBA,AM,0.588,0.538,0.776,0.487
4444 º,SANTA LUZ,PI,0.588,0.539,0.768,0.49
4444 º,MAUES,AM,0.588,0.549,0.8,0.464
4467 º,SANTANA DO ACARAU,CE,0.587,0.536,0.755,0.5
4467 º,CASTELO DO PIAUI,PI,0.587,0.566,0.754,0.473
4467 º,SAO FRANCISCO,SE,0.587,0.564,0.732,0.49
4467 º,PE DE SERRA,BA,0.587,0.558,0.779,0.465
4467 º,GUARAQUECABA,PR,0.587,0.587,0.792,0.434
4467 º,DOM FELICIANO,RS,0.587,0.633,0.818,0.39
4467 º,NOSSA SENHORA DA GLORIA,SE,0.587,0.591,0.75,0.456
4467 º,PAULISTA,PB,0.587,0.587,0.747,0.461
4467 º,MOITA BONITA,SE,0.587,0.596,0.792,0.429
4467 º,MALHADOR,SE,0.587,0.587,0.781,0.442
4467 º,WAGNER,BA,0.587,0.573,0.737,0.479
4467 º,MONTE HOREBE,PB,0.587,0.579,0.755,0.463
4467 º,UMIRIM,CE,0.587,0.514,0.751,0.524
4467 º,PRESIDENTE VARGAS,MA,0.587,0.47,0.768,0.56
4467 º,CAICARA DO RIO DO VENTO,RN,0.587,0.553,0.734,0.499
4467 º,CORONEL EZEQUIEL,RN,0.587,0.545,0.778,0.476
4467 º,JOAIMA,MG,0.587,0.572,0.789,0.448
4467 º,TUPIRATINS,TO,0.587,0.601,0.791,0.425
4467 º,CACHOEIRA DOS INDIOS,PB,0.587,0.583,0.766,0.453
4467 º,MONTEZUMA,MG,0.587,0.587,0.809,0.425
4467 º,SANTAREM NOVO,PA,0.587,0.52,0.774,0.502
4467 º,CANARANA,BA,0.587,0.555,0.734,0.496
4467 º,NOVA UNIAO,RO,0.587,0.608,0.753,0.442
4467 º,VERA CRUZ,RN,0.587,0.558,0.735,0.494
4467 º,CANDEAL,BA,0.587,0.554,0.787,0.465
4467 º,POCO BRANCO,RN,0.587,0.562,0.766,0.471
4467 º,SANTA TERESINHA,BA,0.587,0.549,0.804,0.459
4467 º,NOVA MAMORE,RO,0.587,0.619,0.769,0.424
4495 º,VICOSA,AL,0.586,0.554,0.758,0.478
4495 º,LAJE,BA,0.586,0.548,0.764,0.48
4495 º,COARI,AM,0.586,0.606,0.78,0.425
4495 º,NHAMUNDA,AM,0.586,0.513,0.779,0.503
4495 º,NOSSA SENHORA DE NAZARE,PI,0.586,0.557,0.78,0.462
4495 º,MIGUEL CALMON,BA,0.586,0.571,0.745,0.472
4495 º,IBIARA,PB,0.586,0.548,0.768,0.479
4495 º,PORTO CALVO,AL,0.586,0.558,0.723,0.498
4495 º,TAVARES,PB,0.586,0.56,0.777,0.462
4495 º,SERRA GRANDE,PB,0.586,0.549,0.745,0.491
4495 º,TOME-ACU,PA,0.586,0.596,0.798,0.424
4495 º,ESPERANTINOPOLIS,MA,0.586,0.561,0.713,0.503
4495 º,CAMPO FORMOSO,BA,0.586,0.566,0.749,0.475
4495 º,ITAQUITINGA,PE,0.586,0.554,0.715,0.509
4495 º,VARZEDO,BA,0.586,0.581,0.753,0.461
4495 º,CHAVAL,CE,0.586,0.524,0.716,0.536
4495 º,BARREIROS,PE,0.586,0.561,0.73,0.491
4495 º,COQUEIRO SECO,AL,0.586,0.582,0.757,0.457
4495 º,SUSSUAPARA,PI,0.586,0.563,0.749,0.476
4495 º,PALMAS DE MONTE ALTO,BA,0.586,0.561,0.777,0.462
4515 º,SAO TOME,RN,0.585,0.565,0.77,0.461
4515 º,ALTO LONGA,PI,0.585,0.567,0.751,0.47
4515 º,IBITIARA,BA,0.585,0.55,0.744,0.49
4515 º,BAIXA GRANDE,BA,0.585,0.549,0.775,0.471
4515 º,NACIP RAYDAN,MG,0.585,0.64,0.831,0.377
4515 º,LAGOA NOVA,RN,0.585,0.542,0.764,0.483
4515 º,OLHO-D'AGUA DO BORGES,RN,0.585,0.577,0.719,0.482
4515 º,CENTRAL DO MARANHAO,MA,0.585,0.503,0.713,0.557
4515 º,SAO CAETANO DE ODIVELAS,PA,0.585,0.552,0.767,0.473
4515 º,RIO TINTO,PB,0.585,0.562,0.742,0.48
4515 º,CRISOLITA,MG,0.585,0.579,0.799,0.432
4515 º,CICERO DANTAS,BA,0.585,0.59,0.712,0.477
4515 º,NINA RODRIGUES,MA,0.585,0.474,0.774,0.547
4515 º,GRANJEIRO,CE,0.585,0.533,0.715,0.526
4515 º,SAIRE,PE,0.585,0.581,0.784,0.44
4515 º,LARANJAL,PR,0.585,0.581,0.79,0.436
4515 º,SOLIDAO,PE,0.585,0.547,0.755,0.485
4515 º,CARAUBAS,PB,0.585,0.58,0.71,0.485
4515 º,XIQUE-XIQUE,BA,0.585,0.563,0.741,0.479
4515 º,CHORO,CE,0.585,0.493,0.778,0.523
4515 º,CURRAL DE DENTRO,MG,0.585,0.571,0.759,0.462
4515 º,SENTO SE,BA,0.585,0.535,0.778,0.48
4515 º,MAMANGUAPE,PB,0.585,0.585,0.756,0.453
4515 º,ALEGRETE DO PIAUI,PI,0.585,0.564,0.749,0.475
4515 º,AFONSO BEZERRA,RN,0.585,0.56,0.713,0.502
4540 º,VERDELANDIA,MG,0.584,0.542,0.797,0.462
4540 º,TEJUCUOCA,CE,0.584,0.517,0.742,0.52
4540 º,NOVA IORQUE,MA,0.584,0.558,0.729,0.489
4540 º,SANTO ANTONIO DE LISBOA,PI,0.584,0.597,0.704,0.473
4540 º,JUARINA,TO,0.584,0.563,0.742,0.478
4540 º,PARARI,PB,0.584,0.583,0.733,0.467
4540 º,MATRIZ DE CAMARAGIBE,AL,0.584,0.541,0.777,0.473
4540 º,RIACHO DA CRUZ,RN,0.584,0.545,0.751,0.487
4540 º,LANDRI SALES,PI,0.584,0.563,0.738,0.48
4540 º,LAJEDO DO TABOCAL,BA,0.584,0.545,0.764,0.479
4540 º,TABOCAS DO BREJO VELHO,BA,0.584,0.53,0.764,0.492
4540 º,ITANAGRA,BA,0.584,0.577,0.796,0.433
4540 º,UMBUZEIRO,PB,0.584,0.545,0.712,0.514
4540 º,IBIPITANGA,BA,0.584,0.553,0.757,0.475
4540 º,IBICUI,BA,0.584,0.586,0.78,0.435
4540 º,ERICO CARDOSO,BA,0.584,0.558,0.758,0.471
4540 º,CAVALCANTE,GO,0.584,0.595,0.808,0.415
4540 º,VALE DO ANARI,RO,0.584,0.626,0.756,0.421
4540 º,CAFARNAUM,BA,0.584,0.554,0.734,0.49
4540 º,SAO FRANCISCO DO BREJAO,MA,0.584,0.556,0.748,0.479
4540 º,FEIRA NOVA,SE,0.584,0.546,0.773,0.473
4540 º,BOM JESUS,RN,0.584,0.583,0.743,0.46
4562 º,CANAVIEIRA,PI,0.583,0.525,0.778,0.485
4562 º,CARNAIBA,PE,0.583,0.54,0.727,0.505
4562 º,CAPITAO DE CAMPOS,PI,0.583,0.552,0.773,0.465
4562 º,SENADOR ELOI DE SOUZA,RN,0.583,0.523,0.752,0.504
4562 º,CRISTALIA,MG,0.583,0.518,0.795,0.482
4562 º,JACARE DOS HOMENS,AL,0.583,0.543,0.759,0.481
4562 º,BURITIRANA,MA,0.583,0.54,0.725,0.505
4562 º,FELISBURGO,MG,0.583,0.577,0.744,0.462
4562 º,COLUNA,MG,0.583,0.59,0.782,0.43
4562 º,PINHAO,SE,0.583,0.58,0.711,0.48
4562 º,LAGOA DO PIAUI,PI,0.583,0.548,0.778,0.464
4562 º,AIQUARA,BA,0.583,0.573,0.733,0.471
4562 º,CABECEIRAS DO PIAUI,PI,0.583,0.54,0.769,0.476
4562 º,LOGRADOURO,PB,0.583,0.544,0.776,0.47
4562 º,PARAMOTI,CE,0.583,0.515,0.741,0.518
4562 º,LUCENA,PB,0.583,0.577,0.734,0.469
4562 º,AROAZES,PI,0.583,0.563,0.752,0.468
4562 º,SAO JOAO DA PONTA,PA,0.583,0.522,0.767,0.495
4562 º,PEDRO AVELINO,RN,0.583,0.577,0.788,0.435
4562 º,ITAUEIRA,PI,0.583,0.594,0.727,0.46
4562 º,MACAMBIRA,SE,0.583,0.573,0.728,0.474
4562 º,DOIS IRMAOS DO TOCANTINS,TO,0.583,0.551,0.813,0.442
4562 º,PAU BRASIL,BA,0.583,0.58,0.727,0.47
4562 º,PRAIA NORTE,TO,0.583,0.526,0.73,0.517
4562 º,FLORESTA DO ARAGUAIA,PA,0.583,0.573,0.792,0.437
4562 º,SAO JOSE DA SAFIRA,MG,0.583,0.6,0.765,0.432
4562 º,ITACARE,BA,0.583,0.594,0.807,0.413
4562 º,SANTA BARBARA,BA,0.583,0.554,0.775,0.462
4590 º,CONDEUBA,BA,0.582,0.559,0.789,0.447
4590 º,ARICANDUVA,MG,0.582,0.553,0.787,0.454
4590 º,LORETO,MA,0.582,0.516,0.771,0.495
4590 º,MARACACUME,MA,0.582,0.546,0.719,0.501
4590 º,SAO DOMINGOS DO MARANHAO,MA,0.582,0.549,0.713,0.504
4590 º,UBAIRA,BA,0.582,0.581,0.759,0.447
4590 º,CATOLANDIA,BA,0.582,0.554,0.786,0.452
4590 º,VERTENTES,PE,0.582,0.602,0.728,0.45
4590 º,ALHANDRA,PB,0.582,0.544,0.778,0.465
4590 º,ALAGOA GRANDE,PB,0.582,0.576,0.797,0.43
4590 º,ITATIM,BA,0.582,0.55,0.782,0.459
4590 º,SERRA DE SAO BENTO,RN,0.582,0.551,0.741,0.482
4590 º,MEDICILANDIA,PA,0.582,0.605,0.8,0.408
4590 º,CURUCA,PA,0.582,0.542,0.758,0.48
4590 º,ISAIAS COELHO,PI,0.582,0.628,0.767,0.41
4590 º,LAGOA SALGADA,RN,0.582,0.551,0.771,0.464
4590 º,JULIO BORGES,PI,0.582,0.5,0.777,0.508
4590 º,IRACEMA,RR,0.582,0.56,0.81,0.434
4590 º,RUBELITA,MG,0.582,0.552,0.808,0.443
4590 º,BENTO FERNANDES,RN,0.582,0.542,0.737,0.494
4590 º,MANICORE,AM,0.582,0.58,0.747,0.456
4590 º,SAO JOAO DA SERRA,PI,0.582,0.545,0.757,0.478
4590 º,MOMBACA,CE,0.582,0.549,0.735,0.489
4590 º,ACAJUTIBA,BA,0.582,0.56,0.723,0.487
4614 º,BAIA DA TRAICAO,PB,0.581,0.541,0.731,0.495
4614 º,DARCINOPOLIS,TO,0.581,0.597,0.764,0.429
4614 º,VILA NOVA DOS MARTIRIOS,MA,0.581,0.555,0.718,0.491
4614 º,CURACA,BA,0.581,0.544,0.778,0.463
4614 º,SAO SEBASTIAO DO MARANHAO,MG,0.581,0.564,0.816,0.427
4614 º,MATA VERDE,MG,0.581,0.581,0.749,0.45
4614 º,ANAPURUS,MA,0.581,0.511,0.764,0.502
4614 º,MASCOTE,BA,0.581,0.567,0.744,0.464
4614 º,CABACEIRAS DO PARAGUACU,BA,0.581,0.525,0.763,0.49
4614 º,PORANGA,CE,0.581,0.527,0.746,0.5
4614 º,ANAJATUBA,MA,0.581,0.523,0.762,0.492
4614 º,TENORIO,PB,0.581,0.565,0.707,0.49
4614 º,ARACATU,BA,0.581,0.591,0.754,0.439
4614 º,SAO SEBASTIAO DO UMBUZEIRO,PB,0.581,0.561,0.763,0.459
4614 º,NOVA IPIXUNA,PA,0.581,0.59,0.766,0.435
4614 º,LIMA CAMPOS,MA,0.581,0.578,0.705,0.481
4614 º,SIGEFREDO PACHECO,PI,0.581,0.518,0.764,0.496
4614 º,LAGO DO JUNCO,MA,0.581,0.537,0.741,0.492
4614 º,CAMACAN,BA,0.581,0.608,0.768,0.419
4614 º,SAO JOSE DO BREJO DO CRUZ,PB,0.581,0.535,0.776,0.473
4614 º,NOVA OLINDA DO MARANHAO,MA,0.581,0.536,0.755,0.484
4614 º,PEIXE-BOI,PA,0.581,0.543,0.754,0.478
4614 º,MORAUJO,CE,0.581,0.495,0.768,0.516
4614 º,CONGO,PB,0.581,0.562,0.731,0.477
4638 º,LIMOEIRO DE ANADIA,AL,0.58,0.575,0.742,0.457
4638 º,FERVEDOURO,MG,0.58,0.583,0.796,0.42
4638 º,PARAIBANO,MA,0.58,0.572,0.723,0.473
4638 º,INDIAROBA,SE,0.58,0.533,0.772,0.475
4638 º,TAMBORIL,CE,0.58,0.526,0.779,0.476
4638 º,JAGUAQUARA,BA,0.58,0.586,0.747,0.446
4638 º,MAURILANDIA DO TOCANTINS,TO,0.58,0.542,0.724,0.498
4638 º,AMARAJI,PE,0.58,0.575,0.748,0.454
4638 º,FORTUNA,MA,0.58,0.558,0.706,0.494
4638 º,SAO FRANCISCO,PB,0.58,0.56,0.726,0.481
4638 º,SAO BENTO,PB,0.58,0.597,0.769,0.424
4638 º,IBIRAJUBA,PE,0.58,0.545,0.753,0.476
4638 º,PONTO NOVO,BA,0.58,0.539,0.762,0.475
4638 º,DESTERRO,PB,0.58,0.551,0.724,0.49
4638 º,ELESBAO VELOSO,PI,0.58,0.573,0.758,0.45
4638 º,PRIMAVERA,PE,0.58,0.572,0.767,0.444
4654 º,TANQUE DO PIAUI,PI,0.579,0.553,0.704,0.499
4654 º,CORDEIROS,BA,0.579,0.561,0.763,0.454
4654 º,UMBAUBA,SE,0.579,0.567,0.719,0.476
4654 º,JUAREZ TAVORA,PB,0.579,0.544,0.768,0.465
4654 º,SAO DESIDERIO,BA,0.579,0.584,0.742,0.449
4654 º,CACHOEIRINHA,PE,0.579,0.587,0.753,0.439
4654 º,PILAR,PB,0.579,0.544,0.775,0.461
4654 º,SUCUPIRA DO NORTE,MA,0.579,0.526,0.731,0.505
4654 º,AREIA BRANCA,SE,0.579,0.579,0.773,0.434
4654 º,REMANSO,BA,0.579,0.569,0.757,0.451
4654 º,BANZAE,BA,0.579,0.539,0.769,0.468
4654 º,LAGOA DO TOCANTINS,TO,0.579,0.543,0.758,0.471
4654 º,IPAPORANGA,CE,0.579,0.502,0.766,0.506
4654 º,CIPOTANEA,MG,0.579,0.592,0.75,0.437
4654 º,TUCANO,BA,0.579,0.596,0.712,0.458
4654 º,CANGUARETAMA,RN,0.579,0.557,0.718,0.486
4670 º,APARECIDA,PB,0.578,0.567,0.747,0.456
4670 º,BELEM DE MARIA,PE,0.578,0.537,0.749,0.479
4670 º,MACHADOS,PE,0.578,0.541,0.767,0.466
4670 º,ALCANTIL,PB,0.578,0.55,0.765,0.458
4670 º,TAPEROA,PB,0.578,0.564,0.749,0.456
4670 º,CARIRIACU,CE,0.578,0.549,0.73,0.483
4670 º,BAIAO,PA,0.578,0.538,0.77,0.467
4670 º,CURUA,PA,0.578,0.501,0.78,0.495
4670 º,PIRITIBA,BA,0.578,0.566,0.76,0.449
4670 º,BELEM DO BREJO DO CRUZ,PB,0.578,0.55,0.779,0.451
4670 º,RIACHAO DAS NEVES,BA,0.578,0.527,0.779,0.471
4670 º,ALVORADA DO GURGUEIA,PI,0.578,0.52,0.749,0.496
4670 º,AQUIDABA,SE,0.578,0.573,0.747,0.452
4670 º,SAO JOSE DO BONFIM,PB,0.578,0.549,0.713,0.493
4670 º,CACHOEIRA DE PAJEU,MG,0.578,0.563,0.771,0.444
4670 º,MONTE ALEGRE DO PIAUI,PI,0.578,0.531,0.768,0.474
4670 º,TERRA NOVA,BA,0.578,0.581,0.7,0.474
4670 º,FIRMINO ALVES,BA,0.578,0.596,0.699,0.464
4670 º,MALHADA DE PEDRAS,BA,0.578,0.549,0.747,0.471
4670 º,ITAMARI,BA,0.578,0.595,0.713,0.454
4670 º,CORONEL JOAO PESSOA,RN,0.578,0.549,0.748,0.471
4670 º,ITAMBE,BA,0.578,0.589,0.75,0.436
4670 º,BACURI,MA,0.578,0.54,0.737,0.484
4670 º,ANTONIO MARTINS,RN,0.578,0.554,0.76,0.458
4670 º,QUIXABEIRA,BA,0.578,0.547,0.753,0.469
4695 º,CAMETA,PA,0.577,0.538,0.754,0.474
4695 º,PRIMAVERA,PA,0.577,0.571,0.772,0.435
4695 º,BRASILEIRA,PI,0.577,0.572,0.752,0.446
4695 º,FRANCISCO AYRES,PI,0.577,0.565,0.756,0.45
4695 º,TANHACU,BA,0.577,0.565,0.772,0.44
4695 º,BARRA D'ALCANTARA,PI,0.577,0.526,0.777,0.471
4695 º,SAO SEBASTIAO DO UATUMA,AM,0.577,0.561,0.739,0.464
4695 º,QUIXABA,PE,0.577,0.53,0.752,0.482
4695 º,SANTA CRUZ DE SALINAS,MG,0.577,0.548,0.757,0.463
4695 º,GRACHO CARDOSO,SE,0.577,0.562,0.729,0.468
4695 º,CONTENDAS DO SINCORA,BA,0.577,0.579,0.695,0.477
4695 º,VEREDA,BA,0.577,0.568,0.777,0.436
4695 º,SANTA CRUZ DOS MILAGRES,PI,0.577,0.524,0.719,0.509
4695 º,BARRA DO ROCHA,BA,0.577,0.585,0.705,0.465
4695 º,NOSSA SENHORA APARECIDA,SE,0.577,0.577,0.774,0.43
4695 º,AUTAZES,AM,0.577,0.539,0.799,0.446
4695 º,IBARETAMA,CE,0.577,0.517,0.759,0.489
4695 º,PARIPIRANGA,BA,0.577,0.567,0.717,0.472
4695 º,UNIAO,PI,0.577,0.542,0.781,0.453
4695 º,PINDOBACU,BA,0.577,0.527,0.757,0.482
4695 º,SAO JOSE DE ESPINHARAS,PB,0.577,0.543,0.79,0.448
4695 º,BARRA DE GUABIRABA,PE,0.577,0.558,0.726,0.474
4695 º,MAR VERMELHO,AL,0.577,0.54,0.766,0.465
4718 º,JOAO ALFREDO,PE,0.576,0.569,0.72,0.466
4718 º,ITAUBAL,AP,0.576,0.528,0.758,0.477
4718 º,IBIRATAIA,BA,0.576,0.571,0.789,0.424
4718 º,GOIATINS,TO,0.576,0.541,0.765,0.462
4718 º,OLHO D'AGUA DO PIAUI,PI,0.576,0.537,0.746,0.477
4718 º,IRAJUBA,BA,0.576,0.544,0.776,0.453
4718 º,CANTO DO BURITI,PI,0.576,0.571,0.724,0.462
4718 º,CARINHANHA,BA,0.576,0.525,0.763,0.477
4718 º,NAZARE DO PIAUI,PI,0.576,0.531,0.707,0.51
4718 º,EXU,PE,0.576,0.543,0.775,0.454
4718 º,MAIQUINIQUE,BA,0.576,0.586,0.69,0.472
4718 º,RIO DO ANTONIO,BA,0.576,0.555,0.74,0.465
4718 º,FREI MIGUELINHO,PE,0.576,0.575,0.758,0.438
4718 º,RIACHAO,MA,0.576,0.572,0.757,0.442
4718 º,TARRAFAS,CE,0.576,0.529,0.751,0.482
4718 º,PIRAPEMAS,MA,0.576,0.501,0.741,0.514
4718 º,ALAGOA NOVA,PB,0.576,0.567,0.749,0.451
4718 º,COROATA,MA,0.576,0.545,0.737,0.475
4718 º,BELA VISTA DO PIAUI,PI,0.576,0.52,0.709,0.519
4718 º,GONGOGI,BA,0.576,0.543,0.773,0.456
4718 º,AGUA BOA,MG,0.576,0.594,0.799,0.403
4718 º,POCAO DE PEDRAS,MA,0.576,0.543,0.732,0.481
4718 º,PORTO ACRE,AC,0.576,0.593,0.771,0.418
4718 º,VILA FLOR,RN,0.576,0.561,0.722,0.471
4742 º,PIRIPA,BA,0.575,0.547,0.768,0.453
4742 º,SABOEIRO,CE,0.575,0.533,0.715,0.499
4742 º,MONTES ALTOS,MA,0.575,0.534,0.732,0.486
4742 º,BELO CAMPO,BA,0.575,0.562,0.76,0.444
4742 º,JUPI,PE,0.575,0.56,0.698,0.487
4742 º,PARNAGUA,PI,0.575,0.526,0.777,0.464
4742 º,JUNQUEIRO,AL,0.575,0.586,0.714,0.454
4742 º,MOCAJUBA,PA,0.575,0.539,0.754,0.467
4742 º,JAQUEIRA,PE,0.575,0.557,0.751,0.454
4742 º,PAES LANDIM,PI,0.575,0.537,0.721,0.492
4742 º,ITAMBE,PE,0.575,0.566,0.727,0.463
4742 º,BOTUPORA,BA,0.575,0.543,0.754,0.464
4742 º,SIMOES,PI,0.575,0.56,0.771,0.44
4742 º,CAPIXABA,AC,0.575,0.601,0.794,0.398
4742 º,ABARE,BA,0.575,0.533,0.776,0.46
4742 º,BARRA DA ESTIVA,BA,0.575,0.566,0.717,0.469
4742 º,ARATUIPE,BA,0.575,0.57,0.753,0.443
4742 º,JITAUNA,BA,0.575,0.563,0.704,0.479
4742 º,CHA PRETA,AL,0.575,0.537,0.737,0.481
4742 º,BOA HORA,PI,0.575,0.534,0.772,0.46
4742 º,OLINDA NOVA DO MARANHAO,MA,0.575,0.495,0.724,0.531
4742 º,VARZEA DO POCO,BA,0.575,0.581,0.707,0.462
4764 º,RIACHAO,PB,0.574,0.515,0.763,0.481
4764 º,BARAUNA,RN,0.574,0.562,0.756,0.446
4764 º,SANTA INES,BA,0.574,0.571,0.704,0.47
4764 º,IGRAPIUNA,BA,0.574,0.565,0.789,0.424
4764 º,BREJINHO,PE,0.574,0.563,0.681,0.493
4764 º,PEDRA LAVRADA,PB,0.574,0.564,0.733,0.458
4764 º,SAO FELIX DO TOCANTINS,TO,0.574,0.55,0.771,0.446
4764 º,SANTO ANTONIO DO JACINTO,MG,0.574,0.575,0.772,0.427
4764 º,CARUTAPERA,MA,0.574,0.533,0.747,0.476
4764 º,BURITI DOS MONTES,PI,0.574,0.527,0.78,0.46
4764 º,MARAGOGI,AL,0.574,0.556,0.766,0.443
4764 º,IACU,BA,0.574,0.588,0.697,0.461
4764 º,PAU D'ARCO,PA,0.574,0.571,0.748,0.443
4764 º,CATINGUEIRA,PB,0.574,0.553,0.753,0.455
4764 º,JANUARIO CICCO,RN,0.574,0.511,0.771,0.481
4764 º,PINDOBA,AL,0.574,0.579,0.703,0.465
4764 º,BENJAMIN CONSTANT,AM,0.574,0.526,0.763,0.471
4764 º,SANTANA DO PIAUI,PI,0.574,0.539,0.736,0.476
4764 º,MOGEIRO,PB,0.574,0.538,0.732,0.481
4764 º,CAICARA DO NORTE,RN,0.574,0.572,0.727,0.454
4764 º,BONITO DE SANTA FE,PB,0.574,0.564,0.786,0.427
4764 º,BARREIRINHA,AM,0.574,0.469,0.774,0.522
4786 º,MANOEL EMIDIO,PI,0.573,0.534,0.758,0.466
4786 º,IPUEIRAS,CE,0.573,0.534,0.735,0.479
4786 º,PEDRA BONITA,MG,0.573,0.557,0.74,0.457
4786 º,SAO JOSE DA LAJE,AL,0.573,0.574,0.755,0.434
4786 º,SAO SEBASTIAO DO TOCANTINS,TO,0.573,0.516,0.748,0.487
4786 º,CAPELA,AL,0.573,0.554,0.743,0.456
4786 º,NOVA OLINDA,PB,0.573,0.557,0.744,0.453
4786 º,CARNAUBEIRA DA PENHA,PE,0.573,0.491,0.755,0.508
4786 º,CERRO AZUL,PR,0.573,0.604,0.797,0.391
4786 º,CALDEIRAO GRANDE,BA,0.573,0.526,0.758,0.473
4786 º,SAO JOSE DO PEIXE,PI,0.573,0.548,0.766,0.449
4786 º,SOSSEGO,PB,0.573,0.531,0.769,0.46
4786 º,ALCANTARA,MA,0.573,0.525,0.753,0.475
4786 º,TACARATU,PE,0.573,0.521,0.711,0.507
4786 º,CRISTALANDIA DO PIAUI,PI,0.573,0.521,0.77,0.469
4786 º,SOBRADO,PB,0.573,0.525,0.753,0.477
4802 º,ALVORADA DE MINAS,MG,0.572,0.57,0.794,0.414
4802 º,SAO BRAS,AL,0.572,0.533,0.732,0.48
4802 º,PIACABUCU,AL,0.572,0.538,0.727,0.479
4802 º,OURICURI,PE,0.572,0.578,0.773,0.419
4802 º,CUMARU,PE,0.572,0.553,0.72,0.47
4802 º,ANGELIM,PE,0.572,0.555,0.751,0.448
4802 º,SANTA INES,PB,0.572,0.54,0.706,0.492
4802 º,OLHO D'AGUA,PB,0.572,0.533,0.776,0.452
4802 º,MATUREIA,PB,0.572,0.54,0.73,0.474
4802 º,ITAETE,BA,0.572,0.536,0.719,0.485
4802 º,BARRA DE SAO MIGUEL,PB,0.572,0.584,0.728,0.44
4802 º,AGUA BRANCA,PB,0.572,0.542,0.712,0.484
4802 º,ITAPEBI,BA,0.572,0.568,0.718,0.458
4802 º,TOUROS,RN,0.572,0.562,0.716,0.466
4802 º,SITIO NOVO,RN,0.572,0.528,0.722,0.491
4802 º,MAIRI,BA,0.572,0.575,0.744,0.438
4802 º,MATINA,BA,0.572,0.538,0.74,0.469
4802 º,PLANALTINO,BA,0.572,0.573,0.708,0.462
4802 º,RIO REAL,BA,0.572,0.568,0.729,0.452
4802 º,RIO GRANDE DO PIAUI,PI,0.572,0.552,0.767,0.442
4802 º,TUNTUM,MA,0.572,0.534,0.726,0.483
4802 º,SAO BERNARDO,MA,0.572,0.514,0.762,0.479
4802 º,GOVERNADOR EUGENIO BARROS,MA,0.572,0.55,0.736,0.462
4802 º,RIACHINHO,TO,0.572,0.503,0.76,0.49
4802 º,INHANGAPI,PA,0.572,0.55,0.748,0.456
4827 º,VIEIROPOLIS,PB,0.571,0.537,0.762,0.455
4827 º,CALUMBI,PE,0.571,0.567,0.715,0.46
4827 º,VARZEA GRANDE,PI,0.571,0.554,0.708,0.474
4827 º,SANTA HELENA,MA,0.571,0.531,0.746,0.471
4827 º,NOVO CRUZEIRO,MG,0.571,0.562,0.797,0.415
4827 º,ITAPITANGA,BA,0.571,0.536,0.764,0.454
4827 º,PEDRO II,PI,0.571,0.566,0.767,0.428
4827 º,BARROQUINHA,CE,0.571,0.512,0.72,0.505
4827 º,JUSSARA,BA,0.571,0.544,0.72,0.476
4827 º,VICOSA DO CEARA,CE,0.571,0.521,0.753,0.475
4827 º,CATURAMA,BA,0.571,0.543,0.77,0.446
4827 º,PIATA,BA,0.571,0.543,0.769,0.447
4827 º,IRAMAIA,BA,0.571,0.543,0.74,0.463
4827 º,PALMEIRANTE,TO,0.571,0.564,0.756,0.436
4841 º,LIZARDA,TO,0.57,0.584,0.765,0.415
4841 º,MARACANA,PA,0.57,0.534,0.764,0.454
