CODIGO;FUNCAO;GFM
16470;ATENDENTE UA;20
16480;ASSIST OP JUNIOR UA;20
16481;ASSIST OP JUNIOR UA;20
17000;GER GERAL CASH UN;3
17010;GER GERAL UN;3
17011;GER GERAL UN;3
17012;GER GERAL UN;3
17013;GER GERAL UN;4
17014;GER GERAL UN;3
17015;GER GERAL UN;4
17016;GER GERAL UN;3
17017;GER GERAL UN;4
17018;GER GERAL UN;4
17020;GER GERAL UN;4
17021;GER GERAL UN;4
17022;GER GERAL UN;4
17023;GER GERAL UN;4
17024;GER GERAL UN;6
17025;GER GERAL UN;6
17026;GER GERAL UN;6
17027;GER GERAL UN;6
17028;GER GERAL UN;6
17029;GER GERAL UN;6
17030;GER GERAL UN;6
17031;GER GERAL UN;4
17032;GER GERAL UN;4
17033;GER GERAL UN;4
17034;GER GERAL UN;6
17035;GER GERAL UN;6
17036;GER GERAL UN;6
17037;GER GERAL UN;6
17038;GER GERAL UN;6
17039;GER GERAL UN;6
17040;GER GERAL UN;6
17041;GER GERAL UN;4
17042;GER GERAL UN;4
17043;GER GERAL UN;4
17043;GER GERAL UN;4
17044;GER GERAL UN;6
17045;GER GERAL UN;6
17046;GER GERAL UN;6
17047;GER GERAL UN;6
17048;GER GERAL UN;6
17049;GER GERAL UN;6
17051;GER GERAL UN;6
17052;GER GERAL UN;6
17053;GER GERAL UN;6
17054;GER GERAL UN;6
17055;GER GERAL UN;6
17056;GER GERAL UN;6
17057;GER GERAL UN;6
17058;GER GERAL UN;8
17059;GER GERAL UN;8
17060;GER GERAL UN;8
17061;GER GERAL UN;8
17062;GER GERAL UN;6
17063;GER GERAL UN;6
17064;GER GERAL UN;6
17065;GER GERAL UN;6
17066;GER GERAL UN;6
17066;GER GERAL UN;6
17068;GER GERAL UN;8
17069;GER GERAL UN;8
17070;GER GERAL UN;8
17071;GER GERAL UN;8
17072;GER GERAL UN;6
17073;GER GERAL UN;8
17074;GER GERAL UN;8
17075;GER GERAL UN;8
17076;GER GERAL UN;8
17077;GER GERAL UN;8
17078;GER GERAL UN;8
17079;GER GERAL UN;8
17080;GER GERAL UN;8
17081;GER GERAL UN;8
17082;GER GERAL UN;8
17083;GER GERAL UN;8
17084;GER GERAL UN;9
17085;GER GERAL UN;9
17086;GER GERAL UN;8
17087;GER GERAL UN;8
17088;GER GERAL UN;9
17089;GER GERAL UN;9
17090;GER GERAL UN;9
17091;GER GERAL UN;9
17092;GER GERAL UN;10
17093;GER GERAL UN;9
17094;GER GERAL UN;9
17095;GER GERAL UN;10
17096;GER GERAL UN;9
17097;GER GERAL UN;9
17098;GER GERAL UN;10
17099;GER GERAL UN;10
17100;GER GERAL UN;10
17101;GER GERAL UN;10
17102;GER GERAL UN;13
17103;GER GERAL UN;15
17104;GER GERAL UN;8
17202;GER ADMINIST UN;9
17230;GER NEG INVEST UN;11
17240;GER NEGOCIOS UN;8
17241;GER NEGOCIOS UN;8
17242;GER NEGOCIOS UN;8
17243;GER NEGOCIOS UN;8
17244;GER NEGOCIOS UN;8
17247;GER NEGOCIOS UN;8
17248;GER NEGOCIOS UN;9
17249;GER NEGOCIOS UN;9
17251;GER NEGOCIOS UN;9
17252;GER NEGOCIOS UN;8
17256;GER NEGOCIOS UN;9
17257;GER NEGOCIOS UN;8
17260;GER NEGOCIOS UN;9
17261;GER NEGOCIOS UN;9
17263;GER NEGOCIOS UN;9
17264;GER NEGOCIOS UN;9
17265;GER NEGOCIOS UN;8
17266;GER NEGOCIOS UN;9
17269;GER NEGOCIOS UN;9
17270;GER NEGOCIOS UN;9
17271;GER NEGOCIOS UN;9
17273;GER NEGOCIOS UN;9
17274;GER NEGOCIOS UN;9
17277;GER NEGOCIOS UN;9
